mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__C,param_model__class_weight,param_tfidf__max_features,param_tfidf__ngram_range,param_tfidf__stop_words,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
37.86880342165629,1.3059331338119544,5.865171194076538,0.09609661626151414,0.1,balanced,10000,"(1, 1)",english,"{'model__C': 0.1, 'model__class_weight': 'balanced', 'tfidf__max_features': 10000, 'tfidf__ngram_range': (1, 1), 'tfidf__stop_words': 'english'}",0.4036028823016161,0.4024871117377432,0.40516197762685424,0.4037506572220712,0.0010969974024639764,45
70.58063101768494,3.3608814657370796,11.171861410140991,0.1882680596393149,0.1,balanced,10000,"(1, 2)",,"{'model__C': 0.1, 'model__class_weight': 'balanced', 'tfidf__max_features': 10000, 'tfidf__ngram_range': (1, 2), 'tfidf__stop_words': None}",0.38969415022512194,0.3870897669229871,0.38863282809974364,0.3884722484159509,0.0010692809023653722,58
60.60714761416117,0.4646085978098846,8.549301226933798,0.16746924089233237,0.1,balanced,10000,"(1, 2)",english,"{'model__C': 0.1, 'model__class_weight': 'balanced', 'tfidf__max_features': 10000, 'tfidf__ngram_range': (1, 2), 'tfidf__stop_words': 'english'}",0.4050829442027248,0.40292554714472617,0.4059757510883892,0.40466141414528006,0.0012804170457267345,44
44.63725916544596,4.1536712036167165,6.395146449406941,0.251768409965614,0.1,balanced,20000,"(1, 1)",,"{'model__C': 0.1, 'model__class_weight': 'balanced', 'tfidf__max_features': 20000, 'tfidf__ngram_range': (1, 1), 'tfidf__stop_words': None}",0.4049150679869576,0.40216572407058576,0.4024034578690388,0.403161416642194,0.0012438111107867756,46
44.48884264628092,0.47342230802194435,5.9959977467854815,0.1736155723423012,0.1,balanced,20000,"(1, 1)",english,"{'model__C': 0.1, 'model__class_weight': 'balanced', 'tfidf__max_features': 20000, 'tfidf__ngram_range': (1, 1), 'tfidf__stop_words': 'english'}",0.408302552614646,0.4064977378795064,0.4080915813487411,0.4076306239476311,0.0008056882570294675,41
78.44950302441914,7.551676280428885,11.579168717066446,0.03422808673662769,0.1,balanced,20000,"(1, 2)",,"{'model__C': 0.1, 'model__class_weight': 'balanced', 'tfidf__max_features': 20000, 'tfidf__ngram_range': (1, 2), 'tfidf__stop_words': None}",0.3974586156181341,0.3958085618321928,0.3950662794709502,0.3961111523070924,0.0009998295877817255,51
67.22865056991577,2.929010220043339,8.490599950154623,0.16783480050500052,0.1,balanced,20000,"(1, 2)",english,"{'model__C': 0.1, 'model__class_weight': 'balanced', 'tfidf__max_features': 20000, 'tfidf__ngram_range': (1, 2), 'tfidf__stop_words': 'english'}",0.4108268991795965,0.4098338277626669,0.41167619491348606,0.41077897395191654,0.0007529062802193031,39
133.88540148735046,2.259875687312598,6.283173561096191,0.05875575308217536,1.0,,5000,"(1, 1)",,"{'model__C': 1.0, 'model__class_weight': None, 'tfidf__max_features': 5000, 'tfidf__ngram_range': (1, 1), 'tfidf__stop_words': None}",0.4140107074606626,0.41002831512157106,0.4153988992847293,0.4131459739556543,0.002276198085903246,37
105.7288761138916,4.6897586855206175,5.788101673126221,0.16882661619955613,1.0,,5000,"(1, 1)",english,"{'model__C': 1.0, 'model__class_weight': None, 'tfidf__max_features': 5000, 'tfidf__ngram_range': (1, 1), 'tfidf__stop_words': 'english'}",0.40981439772154116,0.4041295689205819,0.4066860184269176,0.40687666168968023,0.002324733427625857,42
176.8220382531484,11.479212135362106,10.562889655431112,0.060425019678177976,1.0,,5000,"(1, 2)",,"{'model__C': 1.0, 'model__class_weight': None, 'tfidf__max_features': 5000, 'tfidf__ngram_range': (1, 2), 'tfidf__stop_words': None}",0.3937110141198639,0.38812560544406527,0.3962814517580956,0.39270602377400826,0.003404600952727335,53
143.23409144083658,2.143007174847996,8.635377566019693,0.3513397915814849,1.0,,5000,"(1, 2)",english,"{'model__C': 1.0, 'model__class_weight': None, 'tfidf__max_features': 5000, 'tfidf__ngram_range': (1, 2), 'tfidf__stop_words': 'english'}",0.40624453009340156,0.4027398319756327,0.4070935119042704,0.4053592913244349,0.0018843863702926334,43
180.97699387868246,10.895667515271946,6.560455958048503,0.06280297142129998,1.0,,10000,"(1, 1)",,"{'model__C': 1.0, 'model__class_weight': None, 'tfidf__max_features': 10000, 'tfidf__ngram_range': (1, 1), 'tfidf__stop_words': None}",0.4275206661235059,0.4253317791067606,0.42868791650872345,0.4271801205796633,0.0013911369488747306,23
